fundNo,fundName
SE1359,中国龙价值（二）资本市场集合资金信托计划
SE1361,建信证大金牛增长集合资金信托计划（1期）
SE1362,平安证大一期集合资金信托计划
SE1363,上海信托碧玺系列之证大定增宝一号集合信托计划（一期）
SE1364,重庆信托·穿石品质生活
SE1365,平安信托金蕴16期（银杏投资）
SE1366,外贸信托·朱雀中欧国际工商学院教育发展基金会专项证券投资集合资金信托计划
SE1380,平安财富淡水泉2008资金信托
SE1381,平安财富淡水泉成长三期集合资金信托
SE1382,平安财富淡水泉成长四期集合资金信托
SE1383,平安财富淡水泉成长五期集合资金信托
SE1384,平安财富淡水泉成长六期
SE1385,平安财富淡水泉成长七期集合资金信托
SE1386,平安财富投资精英之淡水泉集合资金信托
SE1387,平安财富淡水泉成长九期集合资金信托
SE1388,平安财富淡水泉成长十期集合资金信托
SE1389,外贸信托淡水泉精选1期证券投资集合资金信托
SE1390,外贸信托淡水泉卓越1期证券投资集合资金信托
SE1392,外贸信托双赢10期（阳光私募基金宝）证券投资集合资金信托
SE1423,深国投.武当3期
SE1424,华润信托.武当12期
SE1425,中信信托.武当17期
SE1426,平安财富.投资精英之武当
SE1453,深国投.武当5期
SE1454,深国投.武当6期
SE1462,中国龙稳健资本市场集合资金信托计划
SE1463,中国龙稳健（四）资本市场集合资金信托计划
SE1464,中国龙精选（二）资本市场集合资金信托计划
SE1480,中信上海证大定向债券金融投资集合资金信托计划1201期
SE1483,中国龙价值（五）资本市场集合资金信托计划
SE1484,中国龙价值（六）资本市场集合资金信托计划
SE1485,中国龙价值（七）资本市场集合资金信托计划
SE1491,山东信托华西神农复兴证券投资集合资金信托计划
SE1531,平安财富·朱雀丁远指数中性集合资金信托计划
SE1534,中国龙增长资本市场集合资金信托计划
SE1551,外贸信托·朱雀投资阿尔法2号集合资金信托计划
SE1552,中信信托·朱雀9期证券投资集合资金信托计划
SE1553,兴业信托·朱雀19期证券投资集合资金信托计划
SE1558,华宝证大稳健增长证券投资集合资金信托计划
