registerCode,name
﻿SR7604,融通资本鼎鑫53号专项资产管理计划
SR7544,红塔红土定增1号特定资产管理计划
SR7667,民生加银海普瑞尚易加1号资产管理计划
SR7602,金元顺安FOF瑞意1号资产管理计划
SR7710,长安基金搏股通金37号1期资产管理计划
SR7559,兴银基金-量化多因子1号资产管理计划
SR7525,财通基金-创新惠誉1号资产管理计划
SR7458,广发主题投资资产管理计划32号
SR7414,工银瑞信投资—恒永基金专项资产管理计划
SR7516,融通资本-粤财信托-定增宝1号资产管理计划
SR7392,建信优享指数挂钩系列3号资产管理计划
SR7506,天弘创新哈银4号专项资产管理计划
SR7530,鹏华资产？搏股通金2号（和聚）聚安平台2期资产管理计划
SR7360,富鹏1号-泰达宏利灵活配置资产管理计划
SR7332,粤享财富21号-嘉实资本智臻五期专项资产管理计划
SR7338,嘉实资本嘉瑞共赢7号专项资产管理计划
SR7459,德邦德星9号专项资产管理计划
SR7470,天弘南强1号资产管理计划
SR7488,银华资本启航5号专项资产管理计划
SR7527,融通资本鼎鑫50号专项资产管理计划
SR7534,兴业财富-兴利253号单一客户专项资产管理计划
SR7455,国金基金元萃1号资产管理计划
SR7523,金鹰穗通定增352号资产管理计划
SR7535,兴业财富-兴利251号单一客户专项资产管理计划
SR7333,易方达资产-齐鲁资管8100号专项资产管理计划
SR7489,银华资本启航6号专项资产管理计划
SR7375,建信太原农信社2号资产管理计划
SR7159,国泰-定增精选1号资产管理计划
SR7222,华安资产-智盈16号资产管理计划
SR7093,易方达资产智远4号专项资产管理计划
SR7259,广发主题投资资产管理计划31号
SR7184,北信瑞丰基金北泰中城融和5号资产管理计划
SR7278,汇添富-平安添富牛3号资产管理计划
SR7230,红塔红土定增2号特定资产管理计划
SR7269,北信瑞丰基金丰庆182号资产管理计划
